Year,temperature
2003,15.310636035392612
2004,15.045914319601845
2005,15.093832330707958
2006,16.060981597440726
2007,15.745740708721907
2008,15.672654409534047
2009,15.305688782261099
2010,14.833098331864038
2011,14.581306349608754
2012,15.498170768432853
2013,15.045879988778857
2014,16.759981433116128
2015,16.562015400149562
2016,16.22939358144387
2017,16.343802772946418
2018,16.076558365588838
2019,15.563527429559477
2020,16.20607798956154
2021,15.813679690449225
2022,15.372530569191698
2023,11.16043931620068
