Station_ID,Index,Original_Temperature,Filled_Temperature
USW00023224,3776,nan,21.0
USW00023224,13858,nan,7.0
USW00023224,15184,nan,4.0
USW00023224,15298,nan,5.0
USW00023224,15359,nan,10.0
USW00023224,15376,nan,9.5
USW00023225,22767,nan,23.9
USW00023230,32095,nan,14.15
USW00023232,40860,nan,21.9
USW00023232,43284,nan,13.600000000000001
USW00023233,50984,nan,22.25
USW00023233,51274,nan,17.8
USW00023233,51276,nan,17.4
USW00023233,51291,nan,15.0
USW00023233,51294,nan,15.0
USW00023233,51300,nan,17.1
USW00023233,53278,nan,15.8
USW00023237,67524,nan,12.2
USW00023237,72547,nan,28.6
USW00023243,79879,nan,16.1
USW00023243,80094,nan,10.85
USW00023243,80208,nan,11.1
USW00023243,80276,nan,14.2
USW00023243,80291,nan,11.1
USW00023243,80406,nan,11.7
USW00023243,80415,nan,14.15
USW00023243,80418,nan,17.75
USW00023243,84251,nan,19.15
USW00023244,88223,nan,8.5
USW00023244,88238,nan,17.0
USW00023244,92150,nan,16.5
USW00023257,106028,nan,7.25
USW00023257,106512,nan,13.35
USW00023257,110911,nan,24.450000000000003
USW00023258,120650,nan,23.9
USW00023258,123472,nan,6.65
USW00023258,123918,nan,13.0
USW00023258,123941,nan,8.5
USW00023259,126238,nan,13.05
USW00023275,149422,nan,11.95
USW00023275,156240,nan,13.05
USW00023277,165707,nan,25.55
USW00023285,170604,nan,10.85
USW00023285,170607,nan,10.0
USW00023285,171027,nan,26.65
USW00023293,188556,nan,20.799999999999997
USW00024213,190977,nan,10.0
USW00024213,190999,nan,13.850000000000001
USW00024213,191013,nan,8.05
USW00024213,191041,nan,10.3
USW00024213,191055,nan,10.0
USW00024213,191094,nan,13.05
USW00024213,191104,nan,11.399999999999999
USW00024213,191130,nan,9.45
USW00024213,191138,nan,8.05
USW00024213,191140,nan,9.4
USW00024213,191255,nan,11.1
USW00024213,191288,nan,9.7
USW00024213,191340,nan,7.5
USW00024213,191396,nan,10.3
USW00024213,191508,nan,6.15
USW00024213,191577,nan,3.9000000000000004
USW00024213,191579,nan,7.25
USW00024213,191604,nan,6.1
USW00024213,191607,nan,7.5
USW00024213,191663,nan,8.35
USW00024213,191685,nan,4.7
USW00024213,191840,nan,9.45
USW00024213,191870,nan,10.0
