Station_name,Latitude,Longitude,Year,heat_event_group,Start_date,End_date,Duration,Intensity,Frequency,geometry
ALTURAS MUNI AP,41.4836,-120.5614,2004,8,2004-01-07,2004-01-08,2,1.2600000000000016,8,POINT (-120.5614 41.4836)
ALTURAS MUNI AP,41.4836,-120.5614,2004,9,2004-02-08,2004-02-12,5,0.6300000000000026,8,POINT (-120.5614 41.4836)
ALTURAS MUNI AP,41.4836,-120.5614,2004,10,2004-03-06,2004-03-08,3,0.980000000000004,8,POINT (-120.5614 41.4836)
ALTURAS MUNI AP,41.4836,-120.5614,2004,11,2004-04-23,2004-04-26,4,2.1700000000000053,8,POINT (-120.5614 41.4836)
ALTURAS MUNI AP,41.4836,-120.5614,2004,12,2004-05-30,2004-05-31,2,0.9800000000000004,8,POINT (-120.5614 41.4836)
ALTURAS MUNI AP,41.4836,-120.5614,2004,13,2004-06-02,2004-06-04,3,0.7000000000000028,8,POINT (-120.5614 41.4836)
ALTURAS MUNI AP,41.4836,-120.5614,2004,14,2004-06-21,2004-06-22,2,2.450000000000003,8,POINT (-120.5614 41.4836)
ALTURAS MUNI AP,41.4836,-120.5614,2004,15,2004-07-22,2004-07-23,2,1.4000000000000057,8,POINT (-120.5614 41.4836)
ARCATA EUREKA AP,40.9783,-124.1047,2004,187,2004-01-07,2004-01-08,2,1.4000000000000021,5,POINT (-124.1047 40.9783)
ARCATA EUREKA AP,40.9783,-124.1047,2004,188,2004-02-09,2004-02-10,2,1.4000000000000021,5,POINT (-124.1047 40.9783)
ARCATA EUREKA AP,40.9783,-124.1047,2004,189,2004-03-07,2004-03-08,2,2.8000000000000043,5,POINT (-124.1047 40.9783)
ARCATA EUREKA AP,40.9783,-124.1047,2004,190,2004-06-01,2004-06-02,2,5.460000000000008,5,POINT (-124.1047 40.9783)
ARCATA EUREKA AP,40.9783,-124.1047,2004,191,2004-08-26,2004-08-27,2,0.7000000000000028,5,POINT (-124.1047 40.9783)
AUBURN MUNI AP,38.9547,-121.0819,2004,289,2004-01-07,2004-01-08,2,1.4700000000000024,12,POINT (-121.0819 38.9547)
AUBURN MUNI AP,38.9547,-121.0819,2004,290,2004-02-09,2004-02-10,2,0.5600000000000005,12,POINT (-121.0819 38.9547)
AUBURN MUNI AP,38.9547,-121.0819,2004,291,2004-03-06,2004-03-08,3,1.3300000000000018,12,POINT (-121.0819 38.9547)
AUBURN MUNI AP,38.9547,-121.0819,2004,292,2004-04-23,2004-04-26,4,2.100000000000005,12,POINT (-121.0819 38.9547)
AUBURN MUNI AP,38.9547,-121.0819,2004,293,2004-05-30,2004-05-31,2,2.1000000000000014,12,POINT (-121.0819 38.9547)
AUBURN MUNI AP,38.9547,-121.0819,2004,294,2004-06-14,2004-06-15,2,1.4000000000000057,12,POINT (-121.0819 38.9547)
AUBURN MUNI AP,38.9547,-121.0819,2004,295,2004-07-04,2004-07-05,2,1.4000000000000057,12,POINT (-121.0819 38.9547)
AUBURN MUNI AP,38.9547,-121.0819,2004,296,2004-07-21,2004-07-22,2,0.3500000000000014,12,POINT (-121.0819 38.9547)
AUBURN MUNI AP,38.9547,-121.0819,2004,297,2004-07-25,2004-07-26,2,0.3500000000000014,12,POINT (-121.0819 38.9547)
AUBURN MUNI AP,38.9547,-121.0819,2004,298,2004-08-10,2004-08-11,2,1.4000000000000057,12,POINT (-121.0819 38.9547)
AUBURN MUNI AP,38.9547,-121.0819,2004,299,2004-10-12,2004-10-13,2,0.7000000000000028,12,POINT (-121.0819 38.9547)
AUBURN MUNI AP,38.9547,-121.0819,2004,300,2004-12-09,2004-12-11,3,1.0500000000000007,12,POINT (-121.0819 38.9547)
BEALE AFB,39.1333,-121.4333,2004,475,2004-01-07,2004-01-08,2,1.4000000000000021,5,POINT (-121.4333 39.1333)
BEALE AFB,39.1333,-121.4333,2004,476,2004-03-06,2004-03-08,3,2.1000000000000014,5,POINT (-121.4333 39.1333)
BEALE AFB,39.1333,-121.4333,2004,477,2004-06-01,2004-06-02,2,0.7000000000000028,5,POINT (-121.4333 39.1333)
