Station_ID|Station_name|Year|Month|Day|Hour|Minute|Latitude|Longitude|Elevation|temperature|temperature_Measurement_Code|temperature_Quality_Code|temperature_Report_Type|temperature_Source_Code|temperature_Source_Station_ID|dew_point_temperature|dew_point_temperature_Measurement_Code|dew_point_temperature_Quality_Code|dew_point_temperature_Report_Type|dew_point_temperature_Source_Code|dew_point_temperature_Source_Station_ID|station_level_pressure|station_level_pressure_Measurement_Code|station_level_pressure_Quality_Code|station_level_pressure_Report_Type|station_level_pressure_Source_Code|station_level_pressure_Source_Station_ID|sea_level_pressure|sea_level_pressure_Measurement_Code|sea_level_pressure_Quality_Code|sea_level_pressure_Report_Type|sea_level_pressure_Source_Code|sea_level_pressure_Source_Station_ID|wind_direction|wind_direction_Measurement_Code|wind_direction_Quality_Code|wind_direction_Report_Type|wind_direction_Source_Code|wind_direction_Source_Station_ID|wind_speed|wind_speed_Measurement_Code|wind_speed_Quality_Code|wind_speed_Report_Type|wind_speed_Source_Code|wind_speed_Source_Station_ID|wind_gust|wind_gust_Measurement_Code|wind_gust_Quality_Code|wind_gust_Report_Type|wind_gust_Source_Code|wind_gust_Source_Station_ID|precipitation|precipitation_Measurement_Code|precipitation_Quality_Code|precipitation_Report_Type|precipitation_Source_Code|precipitation_Source_Station_ID|relative_humidity|relative_humidity_Measurement_Code|relative_humidity_Quality_Code|relative_humidity_Report_Type|relative_humidity_Source_Code|relative_humidity_Source_Station_ID|wet_bulb_temperature|wet_bulb_temperature_Measurement_Code|wet_bulb_temperature_Quality_Code|wet_bulb_temperature_Report_Type|wet_bulb_temperature_Source_Code|wet_bulb_temperature_Source_Station_ID|pres_wx_MW1|pres_wx_MW1_Measurement_Code|pres_wx_MW1_Quality_Code|pres_wx_MW1_Report_Type|pres_wx_MW1_Source_Code|pres_wx_MW1_Source_Station_ID|pres_wx_MW2|pres_wx_MW2_Measurement_Code|pres_wx_MW2_Quality_Code|pres_wx_MW2_Report_Type|pres_wx_MW2_Source_Code|pres_wx_MW2_Source_Station_ID|pres_wx_MW3|pres_wx_MW3_Measurement_Code|pres_wx_MW3_Quality_Code|pres_wx_MW3_Report_Type|pres_wx_MW3_Source_Code|pres_wx_MW3_Source_Station_ID|pres_wx_AU1|pres_wx_AU1_Measurement_Code|pres_wx_AU1_Quality_Code|pres_wx_AU1_Report_Type|pres_wx_AU1_Source_Code|pres_wx_AU1_Source_Station_ID|pres_wx_AU2|pres_wx_AU2_Measurement_Code|pres_wx_AU2_Quality_Code|pres_wx_AU2_Report_Type|pres_wx_AU2_Source_Code|pres_wx_AU2_Source_Station_ID|pres_wx_AU3|pres_wx_AU3_Measurement_Code|pres_wx_AU3_Quality_Code|pres_wx_AU3_Report_Type|pres_wx_AU3_Source_Code|pres_wx_AU3_Source_Station_ID|pres_wx_AW1|pres_wx_AW1_Measurement_Code|pres_wx_AW1_Quality_Code|pres_wx_AW1_Report_Type|pres_wx_AW1_Source_Code|pres_wx_AW1_Source_Station_ID|pres_wx_AW2|pres_wx_AW2_Measurement_Code|pres_wx_AW2_Quality_Code|pres_wx_AW2_Report_Type|pres_wx_AW2_Source_Code|pres_wx_AW2_Source_Station_ID|pres_wx_AW3|pres_wx_AW3_Measurement_Code|pres_wx_AW3_Quality_Code|pres_wx_AW3_Report_Type|pres_wx_AW3_Source_Code|pres_wx_AW3_Source_Station_ID|snow_depth|snow_depth_Measurement_Code|snow_depth_Quality_Code|snow_depth_Report_Type|snow_depth_Source_Code|snow_depth_Source_Station_ID|visibility|visibility_Measurement_Code|visibility_Quality_Code|visibility_Report_Type|visibility_Source_Code|visibility_Source_Station_ID|altimeter|altimeter_Measurement_Code|altimeter_Quality_Code|altimeter_Report_Type|altimeter_Source_Code|altimeter_Source_Station_ID|pressure_3hr_change|pressure_3hr_change_Measurement_Code|pressure_3hr_change_Quality_Code|pressure_3hr_change_Report_Type|pressure_3hr_change_Source_Code|pressure_3hr_change_Source_Station_ID|sky_cover_1|sky_cover_1_Measurement_Code|sky_cover_1_Quality_Code|sky_cover_1_Report_Type|sky_cover_1_Source_Code|sky_cover_1_Source_Station_ID|sky_cover_baseht_1|sky_cover_baseht_1_Measurement_Code|sky_cover_baseht_1_Quality_Code|sky_cover_baseht_1_Report_Type|sky_cover_baseht_1_Source_Code|sky_cover_baseht_1_Source_Station_ID|sky_cover_2|sky_cover_2_Measurement_Code|sky_cover_2_Quality_Code|sky_cover_2_Report_Type|sky_cover_2_Source_Code|sky_cover_2_Source_Station_ID|sky_cover_baseht_2|sky_cover_baseht_2_Measurement_Code|sky_cover_baseht_2_Quality_Code|sky_cover_baseht_2_Report_Type|sky_cover_baseht_2_Source_Code|sky_cover_baseht_2_Source_Station_ID|sky_cover_3|sky_cover_3_Measurement_Code|sky_cover_3_Quality_Code|sky_cover_3_Report_Type|sky_cover_3_Source_Code|sky_cover_3_Source_Station_ID|sky_cover_baseht_3|sky_cover_baseht_3_Measurement_Code|sky_cover_baseht_3_Quality_Code|sky_cover_baseht_3_Report_Type|sky_cover_baseht_3_Source_Code|sky_cover_baseht_3_Source_Station_ID|remarks|remarks_Measurement_Code|remarks_Quality_Code|remarks_Report_Type|remarks_Source_Code|remarks_Source_Station_ID
BBW00000408|GRANTLEY ADAMS INTL AP|2023|01|01|04|00|13.0669|-59.4831|52.1|26.0||C|FM15-METAR|343|789540-00408|21.0||C|FM15-METAR|343|789540-00408|||||||||||||090|N-Normal|5|FM15-METAR|343|789540-00408|8.2|N-Normal|5|FM15-METAR|343|789540-00408|||||||||||||74|Derived||FM15-METAR|343|789540-00408|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||SCT:04|04-Four-ok|5|FM15-METAR|343|789540-00408|+00610||5|FM15-METAR|343|789540-00408|BKN:07|07-Seven-o|5|FM15-METAR|343|789540-00408|+01097||5|FM15-METAR|343|789540-00408|||||||||||||MET07301/01/23 00:00:02 METAR TBPB 010400Z 09016KT 9999 SCT020 BKN036 26/21 RMK||F||343|789540-00408
BBW00000408|GRANTLEY ADAMS INTL AP|2023|01|01|05|00|13.0669|-59.4831|52.1|26.0||C|FM15-METAR|343|789540-00408|21.0||C|FM15-METAR|343|789540-00408|||||||||||||090|N-Normal|5|FM15-METAR|343|789540-00408|7.7|N-Normal|5|FM15-METAR|343|789540-00408|||||||||||||74|Derived||FM15-METAR|343|789540-00408|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||BKN:07|07-Seven-o|5|FM15-METAR|343|789540-00408|+00549||5|FM15-METAR|343|789540-00408|SCT:04|04-Four-ok|5|FM15-METAR|343|789540-00408|+01097||5|FM15-METAR|343|789540-00408|||||||||||||MET07301/01/23 01:00:02 METAR TBPB 010500Z 09015KT 9999 BKN018 SCT036 26/21 RMK||F||343|789540-00408
BBW00000408|GRANTLEY ADAMS INTL AP|2023|01|01|06|00|13.0669|-59.4831|52.1|24.0||C|FM15-METAR|343|789540-00408|22.0||C|FM15-METAR|343|789540-00408|||||||||||||110|N-Normal|5|FM15-METAR|343|789540-00408|6.2|N-Normal|5|FM15-METAR|343|789540-00408|||||||||||||89|Derived||FM15-METAR|343|789540-00408|||||||||||||||||||||||||SHRA:02|SH-=-showe|5|FM15-METAR|343|789540-00408|||||||||||||||||||||||||||||||||||||||||||||||||||||||BKN:07|07-Seven-o|5|FM15-METAR|343|789540-00408|+00488||5|FM15-METAR|343|789540-00408|BKN:07|07-Seven-o|5|FM15-METAR|343|789540-00408|+01097||5|FM15-METAR|343|789540-00408|||||||||||||MET08301/01/23 02:00:02 METAR TBPB 010600Z 11012KT 9999 SHRA VCSH BKN016 BKN036 24/22 RMK||F||343|789540-00408
BBW00000408|GRANTLEY ADAMS INTL AP|2023|01|01|07|00|13.0669|-59.4831|52.1|26.0||C|FM15-METAR|343|789540-00408|22.0||C|FM15-METAR|343|789540-00408|||||||||||||070|N-Normal|5|FM15-METAR|343|789540-00408|7.7|N-Normal|5|FM15-METAR|343|789540-00408|||||||||||||79|Derived||FM15-METAR|343|789540-00408|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||SCT:04|04-Four-ok|5|FM15-METAR|343|789540-00408|+00549||5|FM15-METAR|343|789540-00408|BKN:07|07-Seven-o|5|FM15-METAR|343|789540-00408|+01219||5|FM15-METAR|343|789540-00408|||||||||||||MET07801/01/23 03:00:02 METAR TBPB 010700Z 07015KT 9999 VCSH SCT018 BKN040 26/22 RMK||F||343|789540-00408
BBW00000408|GRANTLEY ADAMS INTL AP|2023|01|01|08|00|13.0669|-59.4831|52.1|24.0||C|FM15-METAR|343|789540-00408|22.0||C|FM15-METAR|343|789540-00408|||||||||||||060|N-Normal|5|FM15-METAR|343|789540-00408|5.1|N-Normal|5|FM15-METAR|343|789540-00408|||||||||||||89|Derived||FM15-METAR|343|789540-00408|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||SCT:04|04-Four-ok|5|FM15-METAR|343|789540-00408|+00488||5|FM15-METAR|343|789540-00408|BKN:07|07-Seven-o|5|FM15-METAR|343|789540-00408|+01219||5|FM15-METAR|343|789540-00408|||||||||||||MET07801/01/23 04:00:02 METAR TBPB 010800Z 06010KT 9999 VCSH SCT016 BKN040 24/22 RMK||F||343|789540-00408
BBW00000408|GRANTLEY ADAMS INTL AP|2023|01|01|09|00|13.0669|-59.4831|52.1|23.0||C|FM15-METAR|343|789540-00408|22.0||C|FM15-METAR|343|789540-00408|||||||||||||060|N-Normal|5|FM15-METAR|343|789540-00408|6.2|N-Normal|5|FM15-METAR|343|789540-00408|16.5||5|FM15-METAR|343|789540-00408|||||||94|Derived||FM15-METAR|343|789540-00408|||||||||||||||||||||||||-SHRA:02|-=-light_S|5|FM15-METAR|343|789540-00408|||||||||||||||||||||||||||||||||||||||||||||||||||||||BKN:07|07-Seven-o|5|FM15-METAR|343|789540-00408|+00488||5|FM15-METAR|343|789540-00408|BKN:07|07-Seven-o|5|FM15-METAR|343|789540-00408|+01219||5|FM15-METAR|343|789540-00408|||||||||||||MET08701/01/23 05:00:02 METAR TBPB 010900Z 06012G32KT 9999 -SHRA VCSH BKN016 BKN040 23/22 RMK||F||343|789540-00408
BBW00000408|GRANTLEY ADAMS INTL AP|2023|01|01|09|10|13.0669|-59.4831|52.1|23.0||5|FM15-METAR|343|789540-00408|22.0||5|FM15-METAR|343|789540-00408|||||||||||||090|N-Normal|5|FM15-METAR|343|789540-00408|11.8|N-Normal|5|FM15-METAR|343|789540-00408|||||||||||||94|Derived||FM15-METAR|343|789540-00408|||||||||||||||||||||||||SHRA:02|SH-=-showe|5|FM15-METAR|343|789540-00408|||||||||||||||||||||||||||||||||||||||||||||||||||||||BKN:07|07-Seven-o|5|FM15-METAR|343|789540-00408|+00427||5|FM15-METAR|343|789540-00408|BKN:07|07-Seven-o|5|FM15-METAR|343|789540-00408|+01219||5|FM15-METAR|343|789540-00408|||||||||||||MET07801/01/23 05:10:02 METAR TBPB 010910Z 09023KT 5000 SHRA BKN014 BKN040 23/22 RMK||F||343|789540-00408
BBW00000408|GRANTLEY ADAMS INTL AP|2023|01|01|09|30|13.0669|-59.4831|52.1|23.0||5|FM15-METAR|343|789540-00408|21.0||5|FM15-METAR|343|789540-00408|||||||||||||080|N-Normal|5|FM15-METAR|343|789540-00408|6.7|N-Normal|5|FM15-METAR|343|789540-00408|||||||||||||89|Derived||FM15-METAR|343|789540-00408|||||||||||||||||||||||||-SHRA:02|-=-light_S|5|FM15-METAR|343|789540-00408|||||||||||||||||||||||||||||||||||||||||||||||||||||||BKN:07|07-Seven-o|5|FM15-METAR|343|789540-00408|+00427||5|FM15-METAR|343|789540-00408|BKN:07|07-Seven-o|5|FM15-METAR|343|789540-00408|+01219||5|FM15-METAR|343|789540-00408|||||||||||||MET08401/01/23 05:30:02 METAR TBPB 010930Z 08013KT 9999 -SHRA VCSH BKN014 BKN040 23/21 RMK||F||343|789540-00408
BBW00000408|GRANTLEY ADAMS INTL AP|2023|01|01|11|00|13.0669|-59.4831|52.1|23.0||C|FM15-METAR|343|789540-00408|22.0||C|FM15-METAR|343|789540-00408|||||||||||||070|N-Normal|5|FM15-METAR|343|789540-00408|6.2|N-Normal|5|FM15-METAR|343|789540-00408|||||||||||||94|Derived||FM15-METAR|343|789540-00408|||||||||||||||||||||||||-SHRA:02|-=-light_S|5|FM15-METAR|343|789540-00408|||||||||||||||||||||||||||||||||||||||||||||||||||||||SCT:04|04-Four-ok|5|FM15-METAR|343|789540-00408|+00427||5|FM15-METAR|343|789540-00408|BKN:07|07-Seven-o|5|FM15-METAR|343|789540-00408|+01219||5|FM15-METAR|343|789540-00408|||||||||||||MET08401/01/23 07:00:02 METAR TBPB 011100Z 07012KT 9999 -SHRA VCSH SCT014 BKN040 23/22 RMK||F||343|789540-00408
BBW00000408|GRANTLEY ADAMS INTL AP|2023|01|01|12|00|13.0669|-59.4831|52.1|24.0||C|FM15-METAR|343|789540-00408|22.0||C|FM15-METAR|343|789540-00408|||||||||||||090|N-Normal|5|FM15-METAR|343|789540-00408|7.7|N-Normal|5|FM15-METAR|343|789540-00408|||||||||||||89|Derived||FM15-METAR|343|789540-00408|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||BKN:07|07-Seven-o|5|FM15-METAR|343|789540-00408|+00427||5|FM15-METAR|343|789540-00408|SCT:04|04-Four-ok|5|FM15-METAR|343|789540-00408|+01219||5|FM15-METAR|343|789540-00408|||||||||||||MET07801/01/23 08:00:02 METAR TBPB 011200Z 09015KT 9999 VCSH BKN014 SCT040 24/22 RMK||F||343|789540-00408
