Station_ID|Station_name|Year|Month|Day|Hour|Minute|Latitude|Longitude|Elevation|temperature|temperature_Measurement_Code|temperature_Quality_Code|temperature_Report_Type|temperature_Source_Code|temperature_Source_Station_ID|dew_point_temperature|dew_point_temperature_Measurement_Code|dew_point_temperature_Quality_Code|dew_point_temperature_Report_Type|dew_point_temperature_Source_Code|dew_point_temperature_Source_Station_ID|station_level_pressure|station_level_pressure_Measurement_Code|station_level_pressure_Quality_Code|station_level_pressure_Report_Type|station_level_pressure_Source_Code|station_level_pressure_Source_Station_ID|sea_level_pressure|sea_level_pressure_Measurement_Code|sea_level_pressure_Quality_Code|sea_level_pressure_Report_Type|sea_level_pressure_Source_Code|sea_level_pressure_Source_Station_ID|wind_direction|wind_direction_Measurement_Code|wind_direction_Quality_Code|wind_direction_Report_Type|wind_direction_Source_Code|wind_direction_Source_Station_ID|wind_speed|wind_speed_Measurement_Code|wind_speed_Quality_Code|wind_speed_Report_Type|wind_speed_Source_Code|wind_speed_Source_Station_ID|wind_gust|wind_gust_Measurement_Code|wind_gust_Quality_Code|wind_gust_Report_Type|wind_gust_Source_Code|wind_gust_Source_Station_ID|precipitation|precipitation_Measurement_Code|precipitation_Quality_Code|precipitation_Report_Type|precipitation_Source_Code|precipitation_Source_Station_ID|relative_humidity|relative_humidity_Measurement_Code|relative_humidity_Quality_Code|relative_humidity_Report_Type|relative_humidity_Source_Code|relative_humidity_Source_Station_ID|wet_bulb_temperature|wet_bulb_temperature_Measurement_Code|wet_bulb_temperature_Quality_Code|wet_bulb_temperature_Report_Type|wet_bulb_temperature_Source_Code|wet_bulb_temperature_Source_Station_ID|pres_wx_MW1|pres_wx_MW1_Measurement_Code|pres_wx_MW1_Quality_Code|pres_wx_MW1_Report_Type|pres_wx_MW1_Source_Code|pres_wx_MW1_Source_Station_ID|pres_wx_MW2|pres_wx_MW2_Measurement_Code|pres_wx_MW2_Quality_Code|pres_wx_MW2_Report_Type|pres_wx_MW2_Source_Code|pres_wx_MW2_Source_Station_ID|pres_wx_MW3|pres_wx_MW3_Measurement_Code|pres_wx_MW3_Quality_Code|pres_wx_MW3_Report_Type|pres_wx_MW3_Source_Code|pres_wx_MW3_Source_Station_ID|pres_wx_AU1|pres_wx_AU1_Measurement_Code|pres_wx_AU1_Quality_Code|pres_wx_AU1_Report_Type|pres_wx_AU1_Source_Code|pres_wx_AU1_Source_Station_ID|pres_wx_AU2|pres_wx_AU2_Measurement_Code|pres_wx_AU2_Quality_Code|pres_wx_AU2_Report_Type|pres_wx_AU2_Source_Code|pres_wx_AU2_Source_Station_ID|pres_wx_AU3|pres_wx_AU3_Measurement_Code|pres_wx_AU3_Quality_Code|pres_wx_AU3_Report_Type|pres_wx_AU3_Source_Code|pres_wx_AU3_Source_Station_ID|pres_wx_AW1|pres_wx_AW1_Measurement_Code|pres_wx_AW1_Quality_Code|pres_wx_AW1_Report_Type|pres_wx_AW1_Source_Code|pres_wx_AW1_Source_Station_ID|pres_wx_AW2|pres_wx_AW2_Measurement_Code|pres_wx_AW2_Quality_Code|pres_wx_AW2_Report_Type|pres_wx_AW2_Source_Code|pres_wx_AW2_Source_Station_ID|pres_wx_AW3|pres_wx_AW3_Measurement_Code|pres_wx_AW3_Quality_Code|pres_wx_AW3_Report_Type|pres_wx_AW3_Source_Code|pres_wx_AW3_Source_Station_ID|snow_depth|snow_depth_Measurement_Code|snow_depth_Quality_Code|snow_depth_Report_Type|snow_depth_Source_Code|snow_depth_Source_Station_ID|visibility|visibility_Measurement_Code|visibility_Quality_Code|visibility_Report_Type|visibility_Source_Code|visibility_Source_Station_ID|altimeter|altimeter_Measurement_Code|altimeter_Quality_Code|altimeter_Report_Type|altimeter_Source_Code|altimeter_Source_Station_ID|pressure_3hr_change|pressure_3hr_change_Measurement_Code|pressure_3hr_change_Quality_Code|pressure_3hr_change_Report_Type|pressure_3hr_change_Source_Code|pressure_3hr_change_Source_Station_ID|sky_cover_1|sky_cover_1_Measurement_Code|sky_cover_1_Quality_Code|sky_cover_1_Report_Type|sky_cover_1_Source_Code|sky_cover_1_Source_Station_ID|sky_cover_baseht_1|sky_cover_baseht_1_Measurement_Code|sky_cover_baseht_1_Quality_Code|sky_cover_baseht_1_Report_Type|sky_cover_baseht_1_Source_Code|sky_cover_baseht_1_Source_Station_ID|sky_cover_2|sky_cover_2_Measurement_Code|sky_cover_2_Quality_Code|sky_cover_2_Report_Type|sky_cover_2_Source_Code|sky_cover_2_Source_Station_ID|sky_cover_baseht_2|sky_cover_baseht_2_Measurement_Code|sky_cover_baseht_2_Quality_Code|sky_cover_baseht_2_Report_Type|sky_cover_baseht_2_Source_Code|sky_cover_baseht_2_Source_Station_ID|sky_cover_3|sky_cover_3_Measurement_Code|sky_cover_3_Quality_Code|sky_cover_3_Report_Type|sky_cover_3_Source_Code|sky_cover_3_Source_Station_ID|sky_cover_baseht_3|sky_cover_baseht_3_Measurement_Code|sky_cover_baseht_3_Quality_Code|sky_cover_baseht_3_Report_Type|sky_cover_baseht_3_Source_Code|sky_cover_baseht_3_Source_Station_ID|remarks|remarks_Measurement_Code|remarks_Quality_Code|remarks_Report_Type|remarks_Source_Code|remarks_Source_Station_ID
USI0000KHMT|HEMET RYAN|2019|11|21|20|35|33.7333|-117.0167|460.9|14.5||1|FM15-METAR|223|ICAO-KHMT|9.2||1|FM15-METAR|223|ICAO-KHMT|||||||||||||240|N-Normal|1|FM15-METAR|223|ICAO-KHMT|3.1|N-Normal|1|FM15-METAR|223|ICAO-KHMT|||||||||||||71|Derived||FM15-METAR|223|ICAO-KHMT|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1012.5||1|FM15-METAR|223|ICAO-KHMT|||||||||||||||||||||||||||||||||||||||||||MET081METAR KHMT 212035Z AUTO 24006KT 10SM SCT024 OVC060 14/09 A2990 RMK AO2 T01450092=||F||223|ICAO-KHMT
USI0000KHMT|HEMET RYAN|2019|11|21|20|55|33.7333|-117.0167|460.9|14.3||1|FM15-METAR|223|ICAO-KHMT|8.9||1|FM15-METAR|223|ICAO-KHMT|||||||||||||220|N-Normal|1|FM15-METAR|223|ICAO-KHMT|2.1|N-Normal|1|FM15-METAR|223|ICAO-KHMT|||||||||||||70|Derived||FM15-METAR|223|ICAO-KHMT|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1012.5||1|FM15-METAR|223|ICAO-KHMT|||||||||||||||||||||||||||||||||||||||||||MET081METAR KHMT 212055Z AUTO 22004KT 10SM SCT024 OVC060 14/09 A2990 RMK AO2 T01430089=||F||223|ICAO-KHMT
USI0000KHMT|HEMET RYAN|2019|11|21|21|15|33.7333|-117.0167|460.9|14.5||1|FM15-METAR|223|ICAO-KHMT|8.5||1|FM15-METAR|223|ICAO-KHMT|||||||||||||240|N-Normal|1|FM15-METAR|223|ICAO-KHMT|2.1|N-Normal|1|FM15-METAR|223|ICAO-KHMT|||||||||||||67|Derived||FM15-METAR|223|ICAO-KHMT|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1012.5||1|FM15-METAR|223|ICAO-KHMT|||||||||||||||||||||||||||||||||||||||||||MET081METAR KHMT 212115Z AUTO 24004KT 10SM SCT022 OVC060 15/08 A2990 RMK AO2 T01450085=||F||223|ICAO-KHMT
USI0000KHMT|HEMET RYAN|2019|11|21|21|35|33.7333|-117.0167|460.9|14.0||1|FM15-METAR|223|ICAO-KHMT|9.0||1|FM15-METAR|223|ICAO-KHMT|||||||||||||200|N-Normal|1|FM15-METAR|223|ICAO-KHMT|2.1|N-Normal|1|FM15-METAR|223|ICAO-KHMT|||||||||||||72|Derived||FM15-METAR|223|ICAO-KHMT|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1012.9||1|FM15-METAR|223|ICAO-KHMT|||||||||||||||||||||||||||||||||||||||||||MET071METAR KHMT 212135Z AUTO 20004KT 10SM SCT026 OVC070 14/09 A2991 RMK AO2=||F||223|ICAO-KHMT
USI0000KHMT|HEMET RYAN|2019|11|21|21|55|33.7333|-117.0167|460.9|14.6||1|FM15-METAR|223|ICAO-KHMT|8.1||1|FM15-METAR|223|ICAO-KHMT|||||||||||||190|N-Normal|1|FM15-METAR|223|ICAO-KHMT|2.1|N-Normal|1|FM15-METAR|223|ICAO-KHMT|||||||||||||65|Derived||FM15-METAR|223|ICAO-KHMT|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1012.9||1|FM15-METAR|223|ICAO-KHMT|||||||||||||||||||||||||||||||||||||||||||MET081METAR KHMT 212155Z AUTO 19004KT 10SM SCT026 OVC070 15/08 A2991 RMK AO2 T01460081=||F||223|ICAO-KHMT
USI0000KHMT|HEMET RYAN|2019|11|21|22|15|33.7333|-117.0167|460.9|15.0||1|FM15-METAR|223|ICAO-KHMT|8.3||1|FM15-METAR|223|ICAO-KHMT|||||||||||||220|N-Normal|1|FM15-METAR|223|ICAO-KHMT|3.1|N-Normal|1|FM15-METAR|223|ICAO-KHMT|||||||||||||64|Derived||FM15-METAR|223|ICAO-KHMT|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1012.9||1|FM15-METAR|223|ICAO-KHMT|||||||||||||||||||||||||||||||||||||||||||MET074METAR KHMT 212215Z AUTO 22006KT 10SM BKN070 15/08 A2991 RMK AO2 T01500083=||F||223|ICAO-KHMT
USI0000KHMT|HEMET RYAN|2019|11|21|22|35|33.7333|-117.0167|460.9|15.2||1|FM15-METAR|223|ICAO-KHMT|8.2||1|FM15-METAR|223|ICAO-KHMT|||||||||||||190|N-Normal|1|FM15-METAR|223|ICAO-KHMT|2.6|N-Normal|1|FM15-METAR|223|ICAO-KHMT|||||||||||||63|Derived||FM15-METAR|223|ICAO-KHMT|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1012.9||1|FM15-METAR|223|ICAO-KHMT|||||||||||||||||||||||||||||||||||||||||||MET074METAR KHMT 212235Z AUTO 19005KT 10SM SCT070 15/08 A2991 RMK AO2 T01520082=||F||223|ICAO-KHMT
USI0000KHMT|HEMET RYAN|2019|11|21|22|55|33.7333|-117.0167|460.9|15.4||1|FM15-METAR|223|ICAO-KHMT|8.5||1|FM15-METAR|223|ICAO-KHMT|||||||||||||230|N-Normal|1|FM15-METAR|223|ICAO-KHMT|3.1|N-Normal|1|FM15-METAR|223|ICAO-KHMT|||||||||||||64|Derived||FM15-METAR|223|ICAO-KHMT|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1013.2||1|FM15-METAR|223|ICAO-KHMT|||||||||||||||||||||||||||||||||||||||||||MET071METAR KHMT 212255Z AUTO 23006KT 10SM CLR 15/09 A2992 RMK AO2 T01540085=||F||223|ICAO-KHMT
USI0000KHMT|HEMET RYAN|2019|11|21|23|15|33.7333|-117.0167|460.9|15.2||1|FM15-METAR|223|ICAO-KHMT|8.6||1|FM15-METAR|223|ICAO-KHMT|||||||||||||240|N-Normal|1|FM15-METAR|223|ICAO-KHMT|4.6|N-Normal|1|FM15-METAR|223|ICAO-KHMT|||||||||||||65|Derived||FM15-METAR|223|ICAO-KHMT|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1013.2||1|FM15-METAR|223|ICAO-KHMT|||||||||||||||||||||||||||||||||||||||||||MET071METAR KHMT 212315Z AUTO 24009KT 10SM CLR 15/09 A2992 RMK AO2 T01520086=||F||223|ICAO-KHMT
USI0000KHMT|HEMET RYAN|2019|11|21|23|35|33.7333|-117.0167|460.9|14.6||1|FM15-METAR|223|ICAO-KHMT|9.4||1|FM15-METAR|223|ICAO-KHMT|||||||||||||230|N-Normal|1|FM15-METAR|223|ICAO-KHMT|4.1|N-Normal|1|FM15-METAR|223|ICAO-KHMT|||||||||||||71|Derived||FM15-METAR|223|ICAO-KHMT|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1013.5||1|FM15-METAR|223|ICAO-KHMT|||||||||||||||||||||||||||||||||||||||||||MET074METAR KHMT 212335Z AUTO 23008KT 10SM SCT029 15/09 A2993 RMK AO2 T01460094=||F||223|ICAO-KHMT
USI0000KHMT|HEMET RYAN|2019|11|21|23|55|33.7333|-117.0167|460.9|14.3||1|FM15-METAR|223|ICAO-KHMT|9.1||1|FM15-METAR|223|ICAO-KHMT|||||||||||||210|N-Normal|1|FM15-METAR|223|ICAO-KHMT|3.1|N-Normal|1|FM15-METAR|223|ICAO-KHMT|||||||||||||71|Derived||FM15-METAR|223|ICAO-KHMT|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1013.5||1|FM15-METAR|223|ICAO-KHMT|||||||||||||||||||||||||||||||||||||||||||MET093METAR KHMT 212355Z AUTO 21006KT 10SM CLR 14/09 A2993 RMK AO2 T01430091 10156 20121 401560074=||F||223|ICAO-KHMT
USI0000KHMT|HEMET RYAN|2019|11|22|00|15|33.7333|-117.0167|460.9|13.8||1|FM15-METAR|223|ICAO-KHMT|9.4||1|FM15-METAR|223|ICAO-KHMT|||||||||||||220|N-Normal|1|FM15-METAR|223|ICAO-KHMT|3.1|N-Normal|1|FM15-METAR|223|ICAO-KHMT|||||||||||||75|Derived||FM15-METAR|223|ICAO-KHMT|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1013.5||1|FM15-METAR|223|ICAO-KHMT|||||||||||||||||||||||||||||||||||||||||||MET071METAR KHMT 220015Z AUTO 22006KT 10SM CLR 14/09 A2993 RMK AO2 T01380094=||F||223|ICAO-KHMT
USI0000KHMT|HEMET RYAN|2019|11|22|00|35|33.7333|-117.0167|460.9|13.0||1|FM15-METAR|223|ICAO-KHMT|9.4||1|FM15-METAR|223|ICAO-KHMT|||||||||||||230|N-Normal|1|FM15-METAR|223|ICAO-KHMT|2.6|N-Normal|1|FM15-METAR|223|ICAO-KHMT|||||||||||||79|Derived||FM15-METAR|223|ICAO-KHMT|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1013.9||1|FM15-METAR|223|ICAO-KHMT|||||||||||||||||||||||||||||||||||||||||||MET071METAR KHMT 220035Z AUTO 23005KT 10SM CLR 13/09 A2994 RMK AO2 T01300094=||F||223|ICAO-KHMT
USI0000KHMT|HEMET RYAN|2019|11|22|00|55|33.7333|-117.0167|460.9|12.3||1|FM15-METAR|223|ICAO-KHMT|9.1||1|FM15-METAR|223|ICAO-KHMT|||||||||||||230|N-Normal|1|FM15-METAR|223|ICAO-KHMT|4.1|N-Normal|1|FM15-METAR|223|ICAO-KHMT|||||||||||||81|Derived||FM15-METAR|223|ICAO-KHMT|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1014.2||1|FM15-METAR|223|ICAO-KHMT|||||||||||||||||||||||||||||||||||||||||||MET071METAR KHMT 220055Z AUTO 23008KT 10SM CLR 12/09 A2995 RMK AO2 T01230091=||F||223|ICAO-KHMT
USI0000KHMT|HEMET RYAN|2019|11|22|01|15|33.7333|-117.0167|460.9|11.7||1|FM15-METAR|223|ICAO-KHMT|9.0||1|FM15-METAR|223|ICAO-KHMT|||||||||||||230|N-Normal|1|FM15-METAR|223|ICAO-KHMT|3.6|N-Normal|1|FM15-METAR|223|ICAO-KHMT|||||||||||||84|Derived||FM15-METAR|223|ICAO-KHMT|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1014.6||1|FM15-METAR|223|ICAO-KHMT|||||||||||||||||||||||||||||||||||||||||||MET071METAR KHMT 220115Z AUTO 23007KT 10SM CLR 12/09 A2996 RMK AO2 T01170090=||F||223|ICAO-KHMT
