Station_ID|Station_name|Year|Month|Day|Hour|Minute|Latitude|Longitude|Elevation|temperature|temperature_Measurement_Code|temperature_Quality_Code|temperature_Report_Type|temperature_Source_Code|temperature_Source_Station_ID|dew_point_temperature|dew_point_temperature_Measurement_Code|dew_point_temperature_Quality_Code|dew_point_temperature_Report_Type|dew_point_temperature_Source_Code|dew_point_temperature_Source_Station_ID|station_level_pressure|station_level_pressure_Measurement_Code|station_level_pressure_Quality_Code|station_level_pressure_Report_Type|station_level_pressure_Source_Code|station_level_pressure_Source_Station_ID|sea_level_pressure|sea_level_pressure_Measurement_Code|sea_level_pressure_Quality_Code|sea_level_pressure_Report_Type|sea_level_pressure_Source_Code|sea_level_pressure_Source_Station_ID|wind_direction|wind_direction_Measurement_Code|wind_direction_Quality_Code|wind_direction_Report_Type|wind_direction_Source_Code|wind_direction_Source_Station_ID|wind_speed|wind_speed_Measurement_Code|wind_speed_Quality_Code|wind_speed_Report_Type|wind_speed_Source_Code|wind_speed_Source_Station_ID|wind_gust|wind_gust_Measurement_Code|wind_gust_Quality_Code|wind_gust_Report_Type|wind_gust_Source_Code|wind_gust_Source_Station_ID|precipitation|precipitation_Measurement_Code|precipitation_Quality_Code|precipitation_Report_Type|precipitation_Source_Code|precipitation_Source_Station_ID|relative_humidity|relative_humidity_Measurement_Code|relative_humidity_Quality_Code|relative_humidity_Report_Type|relative_humidity_Source_Code|relative_humidity_Source_Station_ID|wet_bulb_temperature|wet_bulb_temperature_Measurement_Code|wet_bulb_temperature_Quality_Code|wet_bulb_temperature_Report_Type|wet_bulb_temperature_Source_Code|wet_bulb_temperature_Source_Station_ID|pres_wx_MW1|pres_wx_MW1_Measurement_Code|pres_wx_MW1_Quality_Code|pres_wx_MW1_Report_Type|pres_wx_MW1_Source_Code|pres_wx_MW1_Source_Station_ID|pres_wx_MW2|pres_wx_MW2_Measurement_Code|pres_wx_MW2_Quality_Code|pres_wx_MW2_Report_Type|pres_wx_MW2_Source_Code|pres_wx_MW2_Source_Station_ID|pres_wx_MW3|pres_wx_MW3_Measurement_Code|pres_wx_MW3_Quality_Code|pres_wx_MW3_Report_Type|pres_wx_MW3_Source_Code|pres_wx_MW3_Source_Station_ID|pres_wx_AU1|pres_wx_AU1_Measurement_Code|pres_wx_AU1_Quality_Code|pres_wx_AU1_Report_Type|pres_wx_AU1_Source_Code|pres_wx_AU1_Source_Station_ID|pres_wx_AU2|pres_wx_AU2_Measurement_Code|pres_wx_AU2_Quality_Code|pres_wx_AU2_Report_Type|pres_wx_AU2_Source_Code|pres_wx_AU2_Source_Station_ID|pres_wx_AU3|pres_wx_AU3_Measurement_Code|pres_wx_AU3_Quality_Code|pres_wx_AU3_Report_Type|pres_wx_AU3_Source_Code|pres_wx_AU3_Source_Station_ID|pres_wx_AW1|pres_wx_AW1_Measurement_Code|pres_wx_AW1_Quality_Code|pres_wx_AW1_Report_Type|pres_wx_AW1_Source_Code|pres_wx_AW1_Source_Station_ID|pres_wx_AW2|pres_wx_AW2_Measurement_Code|pres_wx_AW2_Quality_Code|pres_wx_AW2_Report_Type|pres_wx_AW2_Source_Code|pres_wx_AW2_Source_Station_ID|pres_wx_AW3|pres_wx_AW3_Measurement_Code|pres_wx_AW3_Quality_Code|pres_wx_AW3_Report_Type|pres_wx_AW3_Source_Code|pres_wx_AW3_Source_Station_ID|snow_depth|snow_depth_Measurement_Code|snow_depth_Quality_Code|snow_depth_Report_Type|snow_depth_Source_Code|snow_depth_Source_Station_ID|visibility|visibility_Measurement_Code|visibility_Quality_Code|visibility_Report_Type|visibility_Source_Code|visibility_Source_Station_ID|altimeter|altimeter_Measurement_Code|altimeter_Quality_Code|altimeter_Report_Type|altimeter_Source_Code|altimeter_Source_Station_ID|pressure_3hr_change|pressure_3hr_change_Measurement_Code|pressure_3hr_change_Quality_Code|pressure_3hr_change_Report_Type|pressure_3hr_change_Source_Code|pressure_3hr_change_Source_Station_ID|sky_cover_1|sky_cover_1_Measurement_Code|sky_cover_1_Quality_Code|sky_cover_1_Report_Type|sky_cover_1_Source_Code|sky_cover_1_Source_Station_ID|sky_cover_baseht_1|sky_cover_baseht_1_Measurement_Code|sky_cover_baseht_1_Quality_Code|sky_cover_baseht_1_Report_Type|sky_cover_baseht_1_Source_Code|sky_cover_baseht_1_Source_Station_ID|sky_cover_2|sky_cover_2_Measurement_Code|sky_cover_2_Quality_Code|sky_cover_2_Report_Type|sky_cover_2_Source_Code|sky_cover_2_Source_Station_ID|sky_cover_baseht_2|sky_cover_baseht_2_Measurement_Code|sky_cover_baseht_2_Quality_Code|sky_cover_baseht_2_Report_Type|sky_cover_baseht_2_Source_Code|sky_cover_baseht_2_Source_Station_ID|sky_cover_3|sky_cover_3_Measurement_Code|sky_cover_3_Quality_Code|sky_cover_3_Report_Type|sky_cover_3_Source_Code|sky_cover_3_Source_Station_ID|sky_cover_baseht_3|sky_cover_baseht_3_Measurement_Code|sky_cover_baseht_3_Quality_Code|sky_cover_baseht_3_Report_Type|sky_cover_baseht_3_Source_Code|sky_cover_baseht_3_Source_Station_ID|remarks|remarks_Measurement_Code|remarks_Quality_Code|remarks_Report_Type|remarks_Source_Code|remarks_Source_Station_ID
USI0000KSYL|ROBERTS AHP|2003|06|16|15|00|35.8150|-120.7438|192.0|13.0||1|FM15-METAR|223|ICAO-KSYL|7.0||1|FM15-METAR|223|ICAO-KSYL|||||||||||||320|N-Normal|1|FM15-METAR|223|ICAO-KSYL|1.0|N-Normal|1|FM15-METAR|223|ICAO-KSYL|||||||||||||67|Derived||FM15-METAR|223|ICAO-KSYL|||||||BR:10|BR:10-Mist|1|FM15-METAR|223|ICAO-KSYL|00|00-Cloud d|1|FM15-METAR|223|ICAO-KSYL|00|00-Cloud d|1|FM15-METAR|223|ICAO-KSYL|||||||||||||||||||||||||||||||||||||||||||||||||1015.2||1|FM15-METAR|223|ICAO-KSYL|||||||FEW:02|02-Two-okt|4|FM15-METAR|223|ICAO-KSYL|||||||||||||||||||||||||||||||MET069METAR KSYL 161459Z 32002KT 5SM BR FEW004 13/07 A2998 RMK 8/600 9/100;||F||223|ICAO-KSYL
USI0000KSYL|ROBERTS AHP|2003|06|16|16|00|35.8150|-120.7438|192.0|16.0||1|FM15-METAR|223|ICAO-KSYL|10.0||1|FM15-METAR|223|ICAO-KSYL|||||||||||||290|N-Normal|1|FM15-METAR|223|ICAO-KSYL|1.0|N-Normal|1|FM15-METAR|223|ICAO-KSYL|||||||||||||68|Derived||FM15-METAR|223|ICAO-KSYL|||||||BR:10|BR:10-Mist|1|FM15-METAR|223|ICAO-KSYL|00|00-Cloud d|1|FM15-METAR|223|ICAO-KSYL|00|00-Cloud d|1|FM15-METAR|223|ICAO-KSYL|||||||||||||||||||||||||||||||||||||||||||||||||1015.2||1|FM15-METAR|223|ICAO-KSYL|||||||||||||||||||||||||||||||||||||||||||MET044KSYL 161557Z 29002KT 6SM BR SKC 16/10 A2998;||F||223|ICAO-KSYL
USI0000KSYL|ROBERTS AHP|2003|06|16|17|00|35.8150|-120.7438|192.0|16.0||1|FM15-METAR|223|ICAO-KSYL|10.0||1|FM15-METAR|223|ICAO-KSYL|||||||||||||999|V-Variable|9|FM15-METAR|223|ICAO-KSYL|1.0|V-Variable|1|FM15-METAR|223|ICAO-KSYL|||||||||||||68|Derived||FM15-METAR|223|ICAO-KSYL|||||||00|00-Cloud d|1|FM15-METAR|223|ICAO-KSYL|00|00-Cloud d|1|FM15-METAR|223|ICAO-KSYL|00|00-Cloud d|1|FM15-METAR|223|ICAO-KSYL|||||||||||||||||||||||||||||||||||||||||||||||||1014.9||1|FM15-METAR|223|ICAO-KSYL|||||||||||||||||||||||||||||||||||||||||||MET041KSYL 161655Z VRB02KT 7SM SKC 16/10 A2997;||F||223|ICAO-KSYL
USI0000KSYL|ROBERTS AHP|2003|06|16|18|00|35.8150|-120.7438|192.0|16.0||1|FM15-METAR|223|ICAO-KSYL|10.0||1|FM15-METAR|223|ICAO-KSYL|||||||||||||999|V-Variable|9|FM15-METAR|223|ICAO-KSYL|1.0|V-Variable|1|FM15-METAR|223|ICAO-KSYL|||||||||||||68|Derived||FM15-METAR|223|ICAO-KSYL|||||||00|00-Cloud d|1|FM15-METAR|223|ICAO-KSYL|00|00-Cloud d|1|FM15-METAR|223|ICAO-KSYL|00|00-Cloud d|1|FM15-METAR|223|ICAO-KSYL|||||||||||||||||||||||||||||||||||||||||||||||||1014.9||1|FM15-METAR|223|ICAO-KSYL|||||||||||||||||||||||||||||||||||||||||||MET041KSYL 161755Z VRB02KT 7SM SKC 16/10 A2997;||F||223|ICAO-KSYL
USI0000KSYL|ROBERTS AHP|2003|06|16|19|00|35.8150|-120.7438|192.0|16.0||1|FM15-METAR|223|ICAO-KSYL|10.0||1|FM15-METAR|223|ICAO-KSYL|||||||||||||999|V-Variable|9|FM15-METAR|223|ICAO-KSYL|1.0|V-Variable|1|FM15-METAR|223|ICAO-KSYL|||||||||||||68|Derived||FM15-METAR|223|ICAO-KSYL|||||||00|00-Cloud d|1|FM15-METAR|223|ICAO-KSYL|00|00-Cloud d|1|FM15-METAR|223|ICAO-KSYL|00|00-Cloud d|1|FM15-METAR|223|ICAO-KSYL|||||||||||||||||||||||||||||||||||||||||||||||||1012.2||1|FM15-METAR|223|ICAO-KSYL|||||||FEW:02|02-Two-okt|4|FM15-METAR|223|ICAO-KSYL|||||||FEW:02|02-Two-okt|4|FM15-METAR|223|ICAO-KSYL|||||||||||||||||||MET077KSYL 161855Z VRB02KT 7SM FEW003 FEW250 16/10 A2989 RMK FU FEW003 8/001 9/001;||F||223|ICAO-KSYL
USI0000KSYL|ROBERTS AHP|2003|06|16|20|00|35.8150|-120.7438|192.0|31.0||2|FM15-METAR|223|ICAO-KSYL|6.0||1|FM15-METAR|223|ICAO-KSYL|||||||||||||320|N-Normal|1|FM15-METAR|223|ICAO-KSYL|1.5|N-Normal|1|FM15-METAR|223|ICAO-KSYL|||||||||||||21|Derived|f|FM15-METAR|223|ICAO-KSYL|||||||00|00-Cloud d|1|FM15-METAR|223|ICAO-KSYL|00|00-Cloud d|1|FM15-METAR|223|ICAO-KSYL|00|00-Cloud d|1|FM15-METAR|223|ICAO-KSYL|||||||||||||||||||||||||||||||||||||||||||||||||1013.5||1|FM15-METAR|223|ICAO-KSYL|||||||FEW:02|02-Two-okt|4|FM15-METAR|223|ICAO-KSYL|||||||||||||||||||||||||||||||MET066METAR KSYL 161959Z 32003KT 7SM FEW250 31/06 A2993 RMK 8/001 9/001;||F||223|ICAO-KSYL
USI0000KSYL|ROBERTS AHP|2003|06|16|21|00|35.8150|-120.7438|192.0|34.0||1|FM15-METAR|223|ICAO-KSYL|5.0||1|FM15-METAR|223|ICAO-KSYL|||||||||||||260|N-Normal|1|FM15-METAR|223|ICAO-KSYL|1.5|N-Normal|1|FM15-METAR|223|ICAO-KSYL|||||||||||||16|Derived||FM15-METAR|223|ICAO-KSYL|||||||00|00-Cloud d|1|FM15-METAR|223|ICAO-KSYL|00|00-Cloud d|1|FM15-METAR|223|ICAO-KSYL|00|00-Cloud d|1|FM15-METAR|223|ICAO-KSYL|||||||||||||||||||||||||||||||||||||||||||||||||1014.2||1|FM15-METAR|223|ICAO-KSYL|||||||FEW:02|02-Two-okt|4|FM15-METAR|223|ICAO-KSYL|||||||FEW:02|02-Two-okt|4|FM15-METAR|223|ICAO-KSYL|||||||||||||||||||MET083METAR KSYL 162055Z 26003KT 7SM FEW003 FEW200 34/05 A2995 RMK FU FEW003 8/001 9/002;||F||223|ICAO-KSYL
USI0000KSYL|ROBERTS AHP|2003|06|16|22|00|35.8150|-120.7438|192.0|37.0||1|FM15-METAR|223|ICAO-KSYL|5.0||1|FM15-METAR|223|ICAO-KSYL|||||||||||||999|V-Variable|9|FM15-METAR|223|ICAO-KSYL|1.5|V-Variable|1|FM15-METAR|223|ICAO-KSYL|||||||||||||14|Derived||FM15-METAR|223|ICAO-KSYL|||||||00|00-Cloud d|1|FM15-METAR|223|ICAO-KSYL|00|00-Cloud d|1|FM15-METAR|223|ICAO-KSYL|00|00-Cloud d|1|FM15-METAR|223|ICAO-KSYL|||||||||||||||||||||||||||||||||||||||||||||||||1010.5||1|FM15-METAR|223|ICAO-KSYL|||||||FEW:02|02-Two-okt|4|FM15-METAR|223|ICAO-KSYL|||||||||||||||||||||||||||||||MET060KSYL 162155Z VRB03KT 7SM FEW200 37/05 A2984 RMK 8/001 9/002;||F||223|ICAO-KSYL
USI0000KSYL|ROBERTS AHP|2003|06|16|23|00|35.8150|-120.7438|192.0|37.0||1|FM15-METAR|223|ICAO-KSYL|5.0||1|FM15-METAR|223|ICAO-KSYL|||||||||||||999|V-Variable|9|FM15-METAR|223|ICAO-KSYL|1.5|V-Variable|1|FM15-METAR|223|ICAO-KSYL|||||||||||||14|Derived||FM15-METAR|223|ICAO-KSYL|||||||00|00-Cloud d|1|FM15-METAR|223|ICAO-KSYL|00|00-Cloud d|1|FM15-METAR|223|ICAO-KSYL|00|00-Cloud d|1|FM15-METAR|223|ICAO-KSYL|||||||||||||||||||||||||||||||||||||||||||||||||1009.8||1|FM15-METAR|223|ICAO-KSYL|||||||||||||||||||||||||||||||||||||||||||MET041KSYL 162255Z VRB03KT 7SM SKC 37/05 A2982;||F||223|ICAO-KSYL
USI0000KSYL|ROBERTS AHP|2003|06|17|00|00|35.8150|-120.7438|192.0|36.0||1|FM15-METAR|223|ICAO-KSYL|8.0||1|FM15-METAR|223|ICAO-KSYL|||||||||||||270|N-Normal|1|FM15-METAR|223|ICAO-KSYL|2.1|N-Normal|1|FM15-METAR|223|ICAO-KSYL|||||||||||||18|Derived||FM15-METAR|223|ICAO-KSYL|||||||00|00-Cloud d|1|FM15-METAR|223|ICAO-KSYL|00|00-Cloud d|1|FM15-METAR|223|ICAO-KSYL|00|00-Cloud d|1|FM15-METAR|223|ICAO-KSYL|||||||||||||||||||||||||||||||||||||||||||||||||1009.8||1|FM15-METAR|223|ICAO-KSYL|||||||||||||||||||||||||||||||||||||||||||MET041KSYL 162355Z 27004KT 7SM SKC 36/08 A2982;||F||223|ICAO-KSYL
