Station_ID|Station_name|Year|Month|Day|Hour|Minute|Latitude|Longitude|Elevation|temperature|temperature_Measurement_Code|temperature_Quality_Code|temperature_Report_Type|temperature_Source_Code|temperature_Source_Station_ID|dew_point_temperature|dew_point_temperature_Measurement_Code|dew_point_temperature_Quality_Code|dew_point_temperature_Report_Type|dew_point_temperature_Source_Code|dew_point_temperature_Source_Station_ID|station_level_pressure|station_level_pressure_Measurement_Code|station_level_pressure_Quality_Code|station_level_pressure_Report_Type|station_level_pressure_Source_Code|station_level_pressure_Source_Station_ID|sea_level_pressure|sea_level_pressure_Measurement_Code|sea_level_pressure_Quality_Code|sea_level_pressure_Report_Type|sea_level_pressure_Source_Code|sea_level_pressure_Source_Station_ID|wind_direction|wind_direction_Measurement_Code|wind_direction_Quality_Code|wind_direction_Report_Type|wind_direction_Source_Code|wind_direction_Source_Station_ID|wind_speed|wind_speed_Measurement_Code|wind_speed_Quality_Code|wind_speed_Report_Type|wind_speed_Source_Code|wind_speed_Source_Station_ID|wind_gust|wind_gust_Measurement_Code|wind_gust_Quality_Code|wind_gust_Report_Type|wind_gust_Source_Code|wind_gust_Source_Station_ID|precipitation|precipitation_Measurement_Code|precipitation_Quality_Code|precipitation_Report_Type|precipitation_Source_Code|precipitation_Source_Station_ID|relative_humidity|relative_humidity_Measurement_Code|relative_humidity_Quality_Code|relative_humidity_Report_Type|relative_humidity_Source_Code|relative_humidity_Source_Station_ID|wet_bulb_temperature|wet_bulb_temperature_Measurement_Code|wet_bulb_temperature_Quality_Code|wet_bulb_temperature_Report_Type|wet_bulb_temperature_Source_Code|wet_bulb_temperature_Source_Station_ID|pres_wx_MW1|pres_wx_MW1_Measurement_Code|pres_wx_MW1_Quality_Code|pres_wx_MW1_Report_Type|pres_wx_MW1_Source_Code|pres_wx_MW1_Source_Station_ID|pres_wx_MW2|pres_wx_MW2_Measurement_Code|pres_wx_MW2_Quality_Code|pres_wx_MW2_Report_Type|pres_wx_MW2_Source_Code|pres_wx_MW2_Source_Station_ID|pres_wx_MW3|pres_wx_MW3_Measurement_Code|pres_wx_MW3_Quality_Code|pres_wx_MW3_Report_Type|pres_wx_MW3_Source_Code|pres_wx_MW3_Source_Station_ID|pres_wx_AU1|pres_wx_AU1_Measurement_Code|pres_wx_AU1_Quality_Code|pres_wx_AU1_Report_Type|pres_wx_AU1_Source_Code|pres_wx_AU1_Source_Station_ID|pres_wx_AU2|pres_wx_AU2_Measurement_Code|pres_wx_AU2_Quality_Code|pres_wx_AU2_Report_Type|pres_wx_AU2_Source_Code|pres_wx_AU2_Source_Station_ID|pres_wx_AU3|pres_wx_AU3_Measurement_Code|pres_wx_AU3_Quality_Code|pres_wx_AU3_Report_Type|pres_wx_AU3_Source_Code|pres_wx_AU3_Source_Station_ID|pres_wx_AW1|pres_wx_AW1_Measurement_Code|pres_wx_AW1_Quality_Code|pres_wx_AW1_Report_Type|pres_wx_AW1_Source_Code|pres_wx_AW1_Source_Station_ID|pres_wx_AW2|pres_wx_AW2_Measurement_Code|pres_wx_AW2_Quality_Code|pres_wx_AW2_Report_Type|pres_wx_AW2_Source_Code|pres_wx_AW2_Source_Station_ID|pres_wx_AW3|pres_wx_AW3_Measurement_Code|pres_wx_AW3_Quality_Code|pres_wx_AW3_Report_Type|pres_wx_AW3_Source_Code|pres_wx_AW3_Source_Station_ID|snow_depth|snow_depth_Measurement_Code|snow_depth_Quality_Code|snow_depth_Report_Type|snow_depth_Source_Code|snow_depth_Source_Station_ID|visibility|visibility_Measurement_Code|visibility_Quality_Code|visibility_Report_Type|visibility_Source_Code|visibility_Source_Station_ID|altimeter|altimeter_Measurement_Code|altimeter_Quality_Code|altimeter_Report_Type|altimeter_Source_Code|altimeter_Source_Station_ID|pressure_3hr_change|pressure_3hr_change_Measurement_Code|pressure_3hr_change_Quality_Code|pressure_3hr_change_Report_Type|pressure_3hr_change_Source_Code|pressure_3hr_change_Source_Station_ID|sky_cover_1|sky_cover_1_Measurement_Code|sky_cover_1_Quality_Code|sky_cover_1_Report_Type|sky_cover_1_Source_Code|sky_cover_1_Source_Station_ID|sky_cover_baseht_1|sky_cover_baseht_1_Measurement_Code|sky_cover_baseht_1_Quality_Code|sky_cover_baseht_1_Report_Type|sky_cover_baseht_1_Source_Code|sky_cover_baseht_1_Source_Station_ID|sky_cover_2|sky_cover_2_Measurement_Code|sky_cover_2_Quality_Code|sky_cover_2_Report_Type|sky_cover_2_Source_Code|sky_cover_2_Source_Station_ID|sky_cover_baseht_2|sky_cover_baseht_2_Measurement_Code|sky_cover_baseht_2_Quality_Code|sky_cover_baseht_2_Report_Type|sky_cover_baseht_2_Source_Code|sky_cover_baseht_2_Source_Station_ID|sky_cover_3|sky_cover_3_Measurement_Code|sky_cover_3_Quality_Code|sky_cover_3_Report_Type|sky_cover_3_Source_Code|sky_cover_3_Source_Station_ID|sky_cover_baseht_3|sky_cover_baseht_3_Measurement_Code|sky_cover_baseht_3_Quality_Code|sky_cover_baseht_3_Report_Type|sky_cover_baseht_3_Source_Code|sky_cover_baseht_3_Source_Station_ID|remarks|remarks_Measurement_Code|remarks_Quality_Code|remarks_Report_Type|remarks_Source_Code|remarks_Source_Station_ID
USL000LJAC1|LA JOLLA|2023|01|01|00|00|32.8670|-117.2580|2.0|14.9||1|FM13-SHIP-|222|CMANS-LJAC1|||||||||||||1015.1||1|FM13-SHIP-|222|CMANS-LJAC1|200|N-Normal|1|FM13-SHIP-|222|CMANS-LJAC1|3.1|N-Normal|1|FM13-SHIP-|222|CMANS-LJAC1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||SYN074LJAC1 46/// /2006 10149 40151 92348 222// 00151 333 91209 555 11006 22007=||F||222|CMANS-LJAC1
USL000LJAC1|LA JOLLA|2023|01|01|01|00|32.8670|-117.2580|2.0|15.0||1|FM13-SHIP-|222|CMANS-LJAC1|||||||||||||1014.7||1|FM13-SHIP-|222|CMANS-LJAC1|150|N-Normal|1|FM13-SHIP-|222|CMANS-LJAC1|3.6|N-Normal|1|FM13-SHIP-|222|CMANS-LJAC1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||SYN074LJAC1 46/// /1507 10150 40147 90036 222// 00151 333 91209 555 11007 22008=||F||222|CMANS-LJAC1
USL000LJAC1|LA JOLLA|2023|01|01|02|00|32.8670|-117.2580|2.0|14.9||1|FM13-SHIP-|222|CMANS-LJAC1|||||||||||||1014.3||1|FM13-SHIP-|222|CMANS-LJAC1|150|N-Normal|1|FM13-SHIP-|222|CMANS-LJAC1|3.6|N-Normal|1|FM13-SHIP-|222|CMANS-LJAC1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||SYN074LJAC1 46/// /1507 10149 40143 90136 222// 00150 333 91209 555 11008 22008=||F||222|CMANS-LJAC1
USL000LJAC1|LA JOLLA|2023|01|01|03|00|32.8670|-117.2580|2.0|14.7||1|FM13-SHIP-|222|CMANS-LJAC1|||||||||||||1012.8||1|FM13-SHIP-|222|CMANS-LJAC1|160|N-Normal|1|FM13-SHIP-|222|CMANS-LJAC1|5.1|N-Normal|1|FM13-SHIP-|222|CMANS-LJAC1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-2.3|8-Steady-o|1|FM13-SHIP-|222|CMANS-LJAC1|||||||||||||||||||||||||||||||||||||SYN080LJAC1 46/// /1610 10147 40128 58023 90300 222// 00150 333 91214 555 11010 22011=||F||222|CMANS-LJAC1
USL000LJAC1|LA JOLLA|2023|01|01|04|00|32.8670|-117.2580|2.0|||||||||||||||||||1012.0||1|FM13-SHIP-|222|CMANS-LJAC1|150|N-Normal|1|FM13-SHIP-|222|CMANS-LJAC1|5.7|N-Normal|1|FM13-SHIP-|222|CMANS-LJAC1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-2.6|7-Decr-(st|1|FM13-SHIP-|222|CMANS-LJAC1|||||||||||||||||||||||||||||||||||||SYN080LJAC1 46/// /1511 1//// 40120 57026 90400 222// 00149 333 91215 555 11011 22012=||F||222|CMANS-LJAC1
USL000LJAC1|LA JOLLA|2023|01|01|05|00|32.8670|-117.2580|2.0|15.4||1|FM13-SHIP-|222|CMANS-LJAC1|||||||||||||1012.1||1|FM13-SHIP-|222|CMANS-LJAC1|170|N-Normal|1|FM13-SHIP-|222|CMANS-LJAC1|6.7|N-Normal|1|FM13-SHIP-|222|CMANS-LJAC1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-1.7|6-Decr,-th|1|FM13-SHIP-|222|CMANS-LJAC1|||||||||||||||||||||||||||||||||||||SYN080LJAC1 46/// /1713 10154 40121 56017 90500 222// 00149 333 91215 555 11013 22015=||F||222|CMANS-LJAC1
USL000LJAC1|LA JOLLA|2023|01|01|06|00|32.8670|-117.2580|2.0|14.8||1|FM13-SHIP-|222|CMANS-LJAC1|||||||||||||1011.0||1|FM13-SHIP-|222|CMANS-LJAC1|170|N-Normal|1|FM13-SHIP-|222|CMANS-LJAC1|9.3|N-Normal|1|FM13-SHIP-|222|CMANS-LJAC1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-1.8|8-Steady-o|1|FM13-SHIP-|222|CMANS-LJAC1|||||||||||||||||||||||||||||||||||||SYN080LJAC1 46/// /1718 10148 40110 58018 90600 222// 00149 333 91225 555 11019 22020=||F||222|CMANS-LJAC1
USL000LJAC1|LA JOLLA|2023|01|01|07|00|32.8670|-117.2580|2.0|14.6||1|FM13-SHIP-|222|CMANS-LJAC1|||||||||||||1010.3||1|FM13-SHIP-|222|CMANS-LJAC1|170|N-Normal|1|FM13-SHIP-|222|CMANS-LJAC1|9.3|N-Normal|1|FM13-SHIP-|222|CMANS-LJAC1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-1.7|8-Steady-o|1|FM13-SHIP-|222|CMANS-LJAC1|||||||||||||||||||||||||||||||||||||SYN080LJAC1 46/// /1718 10146 40103 58017 90700 222// 00149 333 91222 555 11019 22020=||F||222|CMANS-LJAC1
USL000LJAC1|LA JOLLA|2023|01|01|08|00|32.8670|-117.2580|2.0|14.7||1|FM13-SHIP-|222|CMANS-LJAC1|||||||||||||1009.3||1|FM13-SHIP-|222|CMANS-LJAC1|180|N-Normal|1|FM13-SHIP-|222|CMANS-LJAC1|11.3|N-Normal|1|FM13-SHIP-|222|CMANS-LJAC1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-2.8|6-Decr,-th|1|FM13-SHIP-|222|CMANS-LJAC1|||||||||||||||||||||||||||||||||||||SYN080LJAC1 46/// /1822 10147 40093 56028 90800 222// 00149 333 91229 555 11023 22024=||F||222|CMANS-LJAC1
USL000LJAC1|LA JOLLA|2023|01|01|09|00|32.8670|-117.2580|2.0|14.8||1|FM13-SHIP-|222|CMANS-LJAC1|||||||||||||1008.7||1|FM13-SHIP-|222|CMANS-LJAC1|190|N-Normal|1|FM13-SHIP-|222|CMANS-LJAC1|9.3|N-Normal|1|FM13-SHIP-|222|CMANS-LJAC1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-2.3|6-Decr,-th|1|FM13-SHIP-|222|CMANS-LJAC1|||||||||||||||||||||||||||||||||||||SYN080LJAC1 46/// /1918 10148 40087 56023 90900 222// 00149 333 91227 555 11018 22020=||F||222|CMANS-LJAC1
