Station_ID|Station_name|Year|Month|Day|Hour|Minute|Latitude|Longitude|Elevation|temperature|temperature_Measurement_Code|temperature_Quality_Code|temperature_Report_Type|temperature_Source_Code|temperature_Source_Station_ID|dew_point_temperature|dew_point_temperature_Measurement_Code|dew_point_temperature_Quality_Code|dew_point_temperature_Report_Type|dew_point_temperature_Source_Code|dew_point_temperature_Source_Station_ID|station_level_pressure|station_level_pressure_Measurement_Code|station_level_pressure_Quality_Code|station_level_pressure_Report_Type|station_level_pressure_Source_Code|station_level_pressure_Source_Station_ID|sea_level_pressure|sea_level_pressure_Measurement_Code|sea_level_pressure_Quality_Code|sea_level_pressure_Report_Type|sea_level_pressure_Source_Code|sea_level_pressure_Source_Station_ID|wind_direction|wind_direction_Measurement_Code|wind_direction_Quality_Code|wind_direction_Report_Type|wind_direction_Source_Code|wind_direction_Source_Station_ID|wind_speed|wind_speed_Measurement_Code|wind_speed_Quality_Code|wind_speed_Report_Type|wind_speed_Source_Code|wind_speed_Source_Station_ID|wind_gust|wind_gust_Measurement_Code|wind_gust_Quality_Code|wind_gust_Report_Type|wind_gust_Source_Code|wind_gust_Source_Station_ID|precipitation|precipitation_Measurement_Code|precipitation_Quality_Code|precipitation_Report_Type|precipitation_Source_Code|precipitation_Source_Station_ID|relative_humidity|relative_humidity_Measurement_Code|relative_humidity_Quality_Code|relative_humidity_Report_Type|relative_humidity_Source_Code|relative_humidity_Source_Station_ID|wet_bulb_temperature|wet_bulb_temperature_Measurement_Code|wet_bulb_temperature_Quality_Code|wet_bulb_temperature_Report_Type|wet_bulb_temperature_Source_Code|wet_bulb_temperature_Source_Station_ID|pres_wx_MW1|pres_wx_MW1_Measurement_Code|pres_wx_MW1_Quality_Code|pres_wx_MW1_Report_Type|pres_wx_MW1_Source_Code|pres_wx_MW1_Source_Station_ID|pres_wx_MW2|pres_wx_MW2_Measurement_Code|pres_wx_MW2_Quality_Code|pres_wx_MW2_Report_Type|pres_wx_MW2_Source_Code|pres_wx_MW2_Source_Station_ID|pres_wx_MW3|pres_wx_MW3_Measurement_Code|pres_wx_MW3_Quality_Code|pres_wx_MW3_Report_Type|pres_wx_MW3_Source_Code|pres_wx_MW3_Source_Station_ID|pres_wx_AU1|pres_wx_AU1_Measurement_Code|pres_wx_AU1_Quality_Code|pres_wx_AU1_Report_Type|pres_wx_AU1_Source_Code|pres_wx_AU1_Source_Station_ID|pres_wx_AU2|pres_wx_AU2_Measurement_Code|pres_wx_AU2_Quality_Code|pres_wx_AU2_Report_Type|pres_wx_AU2_Source_Code|pres_wx_AU2_Source_Station_ID|pres_wx_AU3|pres_wx_AU3_Measurement_Code|pres_wx_AU3_Quality_Code|pres_wx_AU3_Report_Type|pres_wx_AU3_Source_Code|pres_wx_AU3_Source_Station_ID|pres_wx_AW1|pres_wx_AW1_Measurement_Code|pres_wx_AW1_Quality_Code|pres_wx_AW1_Report_Type|pres_wx_AW1_Source_Code|pres_wx_AW1_Source_Station_ID|pres_wx_AW2|pres_wx_AW2_Measurement_Code|pres_wx_AW2_Quality_Code|pres_wx_AW2_Report_Type|pres_wx_AW2_Source_Code|pres_wx_AW2_Source_Station_ID|pres_wx_AW3|pres_wx_AW3_Measurement_Code|pres_wx_AW3_Quality_Code|pres_wx_AW3_Report_Type|pres_wx_AW3_Source_Code|pres_wx_AW3_Source_Station_ID|snow_depth|snow_depth_Measurement_Code|snow_depth_Quality_Code|snow_depth_Report_Type|snow_depth_Source_Code|snow_depth_Source_Station_ID|visibility|visibility_Measurement_Code|visibility_Quality_Code|visibility_Report_Type|visibility_Source_Code|visibility_Source_Station_ID|altimeter|altimeter_Measurement_Code|altimeter_Quality_Code|altimeter_Report_Type|altimeter_Source_Code|altimeter_Source_Station_ID|pressure_3hr_change|pressure_3hr_change_Measurement_Code|pressure_3hr_change_Quality_Code|pressure_3hr_change_Report_Type|pressure_3hr_change_Source_Code|pressure_3hr_change_Source_Station_ID|sky_cover_1|sky_cover_1_Measurement_Code|sky_cover_1_Quality_Code|sky_cover_1_Report_Type|sky_cover_1_Source_Code|sky_cover_1_Source_Station_ID|sky_cover_baseht_1|sky_cover_baseht_1_Measurement_Code|sky_cover_baseht_1_Quality_Code|sky_cover_baseht_1_Report_Type|sky_cover_baseht_1_Source_Code|sky_cover_baseht_1_Source_Station_ID|sky_cover_2|sky_cover_2_Measurement_Code|sky_cover_2_Quality_Code|sky_cover_2_Report_Type|sky_cover_2_Source_Code|sky_cover_2_Source_Station_ID|sky_cover_baseht_2|sky_cover_baseht_2_Measurement_Code|sky_cover_baseht_2_Quality_Code|sky_cover_baseht_2_Report_Type|sky_cover_baseht_2_Source_Code|sky_cover_baseht_2_Source_Station_ID|sky_cover_3|sky_cover_3_Measurement_Code|sky_cover_3_Quality_Code|sky_cover_3_Report_Type|sky_cover_3_Source_Code|sky_cover_3_Source_Station_ID|sky_cover_baseht_3|sky_cover_baseht_3_Measurement_Code|sky_cover_baseht_3_Quality_Code|sky_cover_baseht_3_Report_Type|sky_cover_baseht_3_Source_Code|sky_cover_baseht_3_Source_Station_ID|remarks|remarks_Measurement_Code|remarks_Quality_Code|remarks_Report_Type|remarks_Source_Code|remarks_Source_Station_ID
USL000PSBC1|PITTSBURG (SUISUN BAY)|2011|09|09|17|00|38.0420|-121.8870|10.0|19.6||1|FM18-BUOY_|222|CMANS-PSBC1|||||||||||||1010.2||1|FM18-BUOY_|222|CMANS-PSBC1|310|N-Normal|1|FM18-BUOY_|222|CMANS-PSBC1|6.7|N-Normal|1|FM18-BUOY_|222|CMANS-PSBC1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||SYN051CMAN 09174 PSBC1 46/// /3113 10196 40102 91711206;||F||222|CMANS-PSBC1
USL000PSBC1|PITTSBURG (SUISUN BAY)|2011|09|09|18|00|38.0420|-121.8870|10.0|20.4||1|FM18-BUOY_|222|CMANS-PSBC1|||||||||||||1009.7||1|FM18-BUOY_|222|CMANS-PSBC1|320|N-Normal|1|FM18-BUOY_|222|CMANS-PSBC1|6.7|N-Normal|1|FM18-BUOY_|222|CMANS-PSBC1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.6|8-Steady-o|1|FM18-BUOY_|222|CMANS-PSBC1|||||||||||||||||||||||||||||||||||||SYN075CMAN 09184 PSBC1 46/// /3213 10204 40097 58006 91800 222// 0009 333 91208;||F||222|CMANS-PSBC1
USL000PSBC1|PITTSBURG (SUISUN BAY)|2011|09|09|19|00|38.0420|-121.8870|10.0|21.4||1|FM18-BUOY_|222|CMANS-PSBC1|||||||||||||1009.4||1|FM18-BUOY_|222|CMANS-PSBC1|320|N-Normal|1|FM18-BUOY_|222|CMANS-PSBC1|6.2|N-Normal|1|FM18-BUOY_|222|CMANS-PSBC1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||SYN079CMAN 09194 PSBC1 46/// /3212 10214 40094 91846 222// 00121210 555 11011 22013;||F||222|CMANS-PSBC1
USL000PSBC1|PITTSBURG (SUISUN BAY)|2011|09|09|20|00|38.0420|-121.8870|10.0|23.8||1|FM18-BUOY_|222|CMANS-PSBC1|||||||||||||1008.2||1|FM18-BUOY_|222|CMANS-PSBC1|320|N-Normal|1|FM18-BUOY_|222|CMANS-PSBC1|4.6|N-Normal|1|FM18-BUOY_|222|CMANS-PSBC1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-2.2|8-Steady-o|1|FM18-BUOY_|222|CMANS-PSBC1|||||||||||||||||||||||||||||||||||||SYN075CMAN 09204 PSBC1 46/// /3209 10238 40082 58022 92000 222// 0010 333 91208;||F||222|CMANS-PSBC1
USL000PSBC1|PITTSBURG (SUISUN BAY)|2011|09|09|21|00|38.0420|-121.8870|10.0|24.7||1|FM18-BUOY_|222|CMANS-PSBC1|||||||||||||1007.4||1|FM18-BUOY_|222|CMANS-PSBC1|310|N-Normal|1|FM18-BUOY_|222|CMANS-PSBC1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-2.3|8-Steady-o|1|FM18-BUOY_|222|CMANS-PSBC1|||||||||||||||||||||||||||||||||||||SYN075CMAN 09214 PSBC1 46/// /3111 10247 40074 58023 92100 222// 0009 333 91210;||F||222|CMANS-PSBC1
USL000PSBC1|PITTSBURG (SUISUN BAY)|2011|09|09|22|00|38.0420|-121.8870|10.0|25.3||1|FM18-BUOY_|222|CMANS-PSBC1|||||||||||||1006.4||1|FM18-BUOY_|222|CMANS-PSBC1|310|N-Normal|1|FM18-BUOY_|222|CMANS-PSBC1|6.2|N-Normal|1|FM18-BUOY_|222|CMANS-PSBC1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-2.7|8-Steady-o|1|FM18-BUOY_|222|CMANS-PSBC1|||||||||||||||||||||||||||||||||||||SYN075CMAN 09224 PSBC1 46/// /3112 10253 40064 58027 92200 222// 0009 333 91208;||F||222|CMANS-PSBC1
USL000PSBC1|PITTSBURG (SUISUN BAY)|2011|09|09|23|00|38.0420|-121.8870|10.0|26.7||1|FM18-BUOY_|222|CMANS-PSBC1|||||||||||||1005.4||1|FM18-BUOY_|222|CMANS-PSBC1|310|N-Normal|1|FM18-BUOY_|222|CMANS-PSBC1|6.7|N-Normal|1|FM18-BUOY_|222|CMANS-PSBC1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-2.8|8-Steady-o|1|FM18-BUOY_|222|CMANS-PSBC1|||||||||||||||||||||||||||||||||||||SYN065CMAN 09234 PSBC1 46/// /3110 10267 40054 58028 92300 222// 0009;||F||222|CMANS-PSBC1
USL000PSBC1|PITTSBURG (SUISUN BAY)|2011|09|10|00|00|38.0420|-121.8870|10.0|26.9||1|FM18-BUOY_|222|CMANS-PSBC1|||||||||||||1005.0||1|FM18-BUOY_|222|CMANS-PSBC1|310|N-Normal|1|FM18-BUOY_|222|CMANS-PSBC1|5.7|N-Normal|4|FM18-BUOY_|222|CMANS-PSBC1|5.7||4|FM18-BUOY_|222|CMANS-PSBC1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-2.4|6-Decr,-th|1|FM18-BUOY_|222|CMANS-PSBC1|||||||||||||||||||||||||||||||||||||SYN075CMAN 10004 PSBC1 46/// /3111 10269 40050 56024 90000 222// 0009 333 91211;||F||222|CMANS-PSBC1
USL000PSBC1|PITTSBURG (SUISUN BAY)|2011|09|10|01|00|38.0420|-121.8870|10.0|27.2||1|FM18-BUOY_|222|CMANS-PSBC1|||||||||||||1005.1||1|FM18-BUOY_|222|CMANS-PSBC1|310|N-Normal|1|FM18-BUOY_|222|CMANS-PSBC1|4.1|N-Normal|1|FM18-BUOY_|222|CMANS-PSBC1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||SYN088CMAN 10014 PSBC1 46/// /3108 10272 40051 90036 222// 001458036 70000 82710 83618 85362;||F||222|CMANS-PSBC1
USL000PSBC1|PITTSBURG (SUISUN BAY)|2011|09|10|02|00|38.0420|-121.8870|10.0|26.3||1|FM18-BUOY_|222|CMANS-PSBC1|||||||||||||1005.4||1|FM18-BUOY_|222|CMANS-PSBC1|290|N-Normal|1|FM18-BUOY_|222|CMANS-PSBC1|3.6|N-Normal|1|FM18-BUOY_|222|CMANS-PSBC1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.0|5-Decr,-th|1|FM18-BUOY_|222|CMANS-PSBC1|||||||||||||||||||||||||||||||||||||SYN065CMAN 10024 PSBC1 46/// /2907 10263 40054 55000 90200 222// 0020;||F||222|CMANS-PSBC1
